"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikGLRSNBCScl","Glare best correction","Unique Data Element","1.0","When you use your best vision correction (glasses or contact lenses) does the glare you notice:","When you use your best vision correction (glasses or contact lenses) does the glare you notice:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6;7","Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses","1;2;3;4;5;6;7","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A60","When you use your best vision correction (glasses or contact lenses) does the glare you notice:","","LASIK Quality of Life Collaboration Project Pre Op: PRCORGLR v1.0;LASIK Quality of Life Collaboration Project Post Op: POCORGLR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QJNo0XGlX","","GLRSNBC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBWOVCScl","Starburst no corection","Unique Data Element","1.0","In the last 7 days, how often have you seen starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A71","In the last 7 days, how often have you seen starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTNOCR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","myCImSMl7","","STB_WOVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLBWVCScl","Bother double vis correct","Unique Data Element","1.0","In the last 7 days, how bothersome have the double images been when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the double images been when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A48","In the last 7 days, how bothersome have the double images been when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBCRBT v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBCRBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QyMBSXGg7","","DBLB_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikVSNWRRYScl","Worry about eyesight","Unique Data Element","1.0","How often do you worry about your eyesight or vision?","How often do you worry about your eyesight or vision?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Never;Rarely;Occasionally;Sometimes;All of the time","1;2;3;4;5","","","","When you answer the question below, think about the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A02","How often do you worry about your eyesight or vision?","","LASIK Quality of Life Collaboration Project Pre Op: PRWORRY v1.0;LASIK Quality of Life Collaboration Project Post Op: POWORRY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mkQC1V01m","","VSNWRRY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEXPBESTScl","Expect the best","Unique Data Element","1.0","In uncertain times, I usually expect the best.","In uncertain times, I usually expect the best.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A93","In uncertain times, I usually expect the best.","","LASIK Quality of Life Collaboration Project: PREXPBST v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yxvdzUlm","","EXPBEST","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikPFCTVSNScl","Perfect vision after LASIK","Unique Data Element","1.0","After healing from LASIK surgery, I expect  my vision to be perfect.","After healing from LASIK surgery, I expect  my vision to be perfect.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Don't know;Mostly false;Definitely false","1;2;3;4;5","","","","","A09","After healing from LASIK surgery, I expect  my vision to be perfect.","","LASIK Quality of Life Collaboration Project: PRPRFVIS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJsjtNR1X","","PFCTVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOSNBCScl","Halos best correction","Unique Data Element","1.0","When you use your best vision correction (glasses or contact lenses) do the halos you see:","When you use your best vision correction (glasses or contact lenses) do the halos you see:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6;7","Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses","1;2;3;4;5;6;7","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A68","When you use your best vision correction (glasses or contact lenses) do the halos you see:","","LASIK Quality of Life Collaboration Project: PRCORHAL v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7JWcxHMxX","","HLOSNBC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSOREEYEScl","Painful or sore eyes","Unique Data Element","1.0","Painful or sore eyes?","Painful or sore eyes?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have you experienced:","A79","During the last 7 days, how often have you experienced: Painful or sore eyes?","","LASIK Quality of Life Collaboration Project: PRSORE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XkGgreIlQ","","SOREEYE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikMINUTESTimDur","Minutes to complete","Unique Data Element","1.0","About how many minutes do you think it took you to fill out this questionnaire? If you completed this survey in multiple sessions, estimate the total time you spent on the survey. Your best estimate is fine.","About how many minutes do you think it took you to fill out this questionnaire? If you completed this survey in multiple sessions, estimate the total time you spent on the survey. Your best estimate is fine.","Numeric Values","","Free-Form Entry","0","1440","","","","","","","","B14","About how many minutes do you think it took you to fill out this questionnaire? If you completed this survey in multiple sessions, estimate the total time you spent on the survey. Your best estimate is fine.","","LASIK Quality of Life Collaboration Project: PRNUMMIN v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mkV5gmUe7","","MINUTES","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikBLRVSNBTScl","Bothersome blurry vision","Unique Data Element","1.0","How bothersome has it been?","How bothersome has it been?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Very;Somewhat;A little;Not at all","1;2;3;4","","","","","A34","How bothersome has it been?","","LASIK Quality of Life Collaboration Project Pre Op: PRBLRBTH v1.0;LASIK Quality of Life Collaboration Project Post Op: POBLRBTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QyYMKYkgQ","","BLRVSNBT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikACTLISTTxt","Specify daily activities","Unique Data Element","1.0","You have noted that you have difficulty with your daily activities because of your vision. Please list those activities with which you have difficulty (e.g., watching television, using automated teller machines (ATM), etc).","You have noted that you have difficulty with your daily activities because of your vision. Please list those activities with which you have difficulty (e.g., watching television, using automated teller machines (ATM), etc).","Alphanumeric","4000","Free-Form Entry","","","","","","","","","","A22","You have noted that you have difficulty with your daily activities because of your vision. Please list those activities with which you have difficulty (e.g., watching television, using automated teller machines (ATM), etc).","","LASIK Quality of Life Collaboration Project Pre Op: PRDLYSP v1.0;LASIK Quality of Life Collaboration Project Post Op: PODLYSP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7y2f3_ye7","","ACTLIST","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LangCRFAdministratISOCode","Language form administration ISO code","Unique Data Element","1.0","Code (ISO 639-2) for the language that was used for  CRF/instrument/scale/etc. administration","Code (ISO 639-2) for the language that was used for  CRF/instrument/scale/etc. administration","Alphanumeric","","Single Pre-Defined Value Selected","","","chi;cze;dan;dut;eng;fin;fre;ger;gre;heb;hin;hun;ira;ita;jpn;nor;Other, specify;por;rus;sgn;spa;vie","Chinese;Czech;Danish;Dutch;English;Finnish;French;German;Greek;Hebrew;Hindi;Hungarian;Iranian languages;Italian;Japanese;Norwegian;Other specify;Portuguese;Russian;Sign language;Spanish;Vietnamese","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;444;17;18;19;20;21","","","","Data Sharing Instructions: The language data should be coded using the ISO 639-2 codes ( (https://www.loc.gov/standards/iso639-2/php/code_list.php) prior to aggregation or sharing. Enter  ISO 639-2 code  for the  language used to administer the CRF/instrument/scale/test/etc. If the language is not specified, the default value is 'eng'- English.","","What is the ISO 639 code for the language the form/instrument has been administrated?","","ISO 639-2 language codes (http://www.loc.gov/standards/iso639-2/php/code_list.php)","Adult and Pediatric","Participant/Subject Characteristics.Demographics","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2018-06-07","2018-06-11","Published",,
"LasikDBLBNVCScl","Bother double vis no corr","Unique Data Element","1.0","In the last 7 days, how bothersome have the double images been when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the double images been when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A49","In the last 7 days, how bothersome have the double images been when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBNCBT v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBNCBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1OiwQGxQ","","DBLB_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDAILYACTScl","Difficulty daily activity","Unique Data Element","1.0","Because of your vision, how much difficulty do you have with your daily activities?","Because of your vision, how much difficulty do you have with your daily activities?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty","1;2;3;4","","","","","A18","Because of your vision, how much difficulty do you have with your daily activities?","","LASIK Quality of Life Collaboration Project Pre Op: PRDAILY v1.0;LASIK Quality of Life Collaboration Project Post Op: PODAILY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Qk9Ec4kxm","","DAILYACT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLRWOVCScl","Glare with no correction","Unique Data Element","1.0","In the last 7 days, how often have you noticed glare when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how often have you noticed glare when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A55","In the last 7 days, how often have you noticed glare when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLNOCR v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLNOCR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJeV4Ydxm","","GLR_WOVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikVCLARBOTScl","Bothered clarity changes","Unique Data Element","1.0","How often are you bothered by changes in the clarity of your vision over the course of the day?","How often are you bothered by changes in the clarity of your vision over the course of the day?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Never;Rarely;Occasionally;Sometimes;All the time","1;2;3;4;5","","","","","A30","How often are you bothered by changes in the clarity of your vision over the course of the day?","","LASIK Quality of Life Collaboration Project Pre Op: PRBOTHER v1.0;LASIK Quality of Life Collaboration Project Post Op: POBOTHER v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QyPvbKJeQ","","VCLARBOT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
